"postcode","postcode_space","postcode.area","Average.download.speed..Mbit.s.","Maximum.download.speed..Mbit.s.","Minimum.download.speed..Mbit.s.","Average.upload.speed..Mbit.s.","Maximum.upload.speed..Mbit.s.","Minimum.upload.speed..Mbit.s.","Average.data.usage..GB.","All.Premises","All.Matched.Premises","lsoa_area","county"
"TR197BT","TR19 7BT","TR",3.64021428213266,4.39444915467244,2.05412373369555,2.2512917986065,3.04452243772342,0.587786664902119,5.32787616878958,2.63905732961526,2.63905732961526,"Cornwall 069C","Cornwall"
"TR197BU","TR19 7BU","TR",3.80443779474821,4.39444915467244,2.14006616349627,2.39789527279837,3.04452243772342,0.336472236621213,5.08759633523238,1.94591014905531,1.94591014905531,"Cornwall 069C","Cornwall"
"TR197BW","TR19 7BW","TR",3.40452517175483,3.67122451887522,0.693147180559945,1.82454929205105,2.05412373369555,0.336472236621213,4.61512051684126,2.19722457733622,2.19722457733622,"Cornwall 065C","Cornwall"
"TR197BX","TR19 7BX","TR",3.47196645255036,4.15888308335967,1.7227665977411,1.97408102602201,2.78501124223834,0.336472236621213,4.75359019110636,3.40119738166216,3.40119738166216,"Cornwall 069C","Cornwall"
"TR197BY","TR19 7BY","TR",3.04452243772342,3.60549784517489,2.2082744135228,1.54756250871601,2.19722457733622,0.336472236621213,3.87120101090789,2.30258509299405,2.30258509299405,"Cornwall 069C","Cornwall"
"TR197BZ","TR19 7BZ","TR",3.16968558067743,3.94739014926544,2.04122032885964,1.45861502269952,2.09186406167839,0.336472236621213,4.39444915467244,3.52636052461616,3.52636052461616,"Cornwall 069C","Cornwall"
"TR197DA","TR19 7DA","TR",2.85647020622048,3.01062088604774,2.66025953726586,0.693147180559945,0.741937344729377,0.587786664902119,3.68887945411394,2.30258509299405,2.30258509299405,"Cornwall 069C","Cornwall"
"TR197DB","TR19 7DB","TR",2.89591193827178,2.97552956623647,2.72785282839839,0.641853886172395,0.741937344729377,0.587786664902119,3.58351893845611,2.56494935746154,2.56494935746154,"Cornwall 069C","Cornwall"
"TR197DD","TR19 7DD","TR",2.72785282839839,2.91777073208428,2.60268968544438,0.641853886172395,0.741937344729377,0.587786664902119,4.60517018598809,1.94591014905531,1.94591014905531,"Cornwall 069C","Cornwall"
"TR197DE","TR19 7DE","TR",2.98568193770049,3.34638914516716,2.68102152871429,1.06471073699243,1.90210752639692,0.587786664902119,3.91202300542815,2.484906649788,2.484906649788,"Cornwall 069C","Cornwall"
"TR197DF","TR19 7DF","TR",3.1267605359604,4.20319896713418,2.2082744135228,1.45861502269952,3.04452243772342,0.336472236621213,4.48863636973214,3.49650756146648,3.49650756146648,"Cornwall 069C","Cornwall"
"TR197DG","TR19 7DG","TR",3.73766961828337,4.29864502573483,2.12823170584927,2.19722457733622,3.00071981506503,0.336472236621213,4.77068462446567,2.94443897916644,2.94443897916644,"Cornwall 069C","Cornwall"
"TR197DH","TR19 7DH","TR",3.60004824040732,3.72569342723665,3.13113691056019,2.09186406167839,2.39789527279837,0.587786664902119,5.42053499927229,2.30258509299405,2.30258509299405,"Cornwall 069C","Cornwall"
"TR197DN","TR19 7DN","TR",3.77734810210154,4.39444915467244,0.262364264467491,2.41591377830105,3.04452243772342,0.405465108108164,4.66343909411207,3.13549421592915,3.13549421592915,"Cornwall 065C","Cornwall"
"TR197DP","TR19 7DP","TR",3.55820113047182,4.39444915467244,0.741937344729377,2.19722457733622,3.04452243772342,0.336472236621213,4.91265488573605,3.55534806148941,3.55534806148941,"Cornwall 065C","Cornwall"
"TR197DR","TR19 7DR","TR",3.62700405039585,4.39444915467244,1.1314021114911,2.26176309847379,3.04452243772342,0.405465108108164,5.33271879326537,2.99573227355399,2.99573227355399,"Cornwall 065C","Cornwall"
