"postcode","postcode_space","postcode.area","Average.download.speed..Mbit.s.","Maximum.download.speed..Mbit.s.","Minimum.download.speed..Mbit.s.","Average.upload.speed..Mbit.s.","Maximum.upload.speed..Mbit.s.","Minimum.upload.speed..Mbit.s.","Average.data.usage..GB.","All.Premises","All.Matched.Premises","lsoa_area","county"
"BS110HZ","BS11 0HZ","BS",4.4042772436087,5.30330490805908,1.52605630349505,1.97408102602201,2.56494935746154,0.587786664902119,5.4380793089232,3.66356164612965,3.66356164612965,"Bristol 003A","Bristol, City of"
"BS110JA","BS11 0JA","BS",4.41642806139121,5.30330490805908,1.58923520511658,1.96009478404727,3.04452243772342,0.470003629245736,5.68697535633982,3.66356164612965,3.66356164612965,"Bristol 003A","Bristol, City of"
"BS110JB","BS11 0JB","BS",3.76815263500844,5.01727983681492,1.1314021114911,1.7404661748405,2.39789527279837,0.405465108108164,5.71373280550937,3.29583686600433,3.29583686600433,"Bristol 003A","Bristol, City of"
"BS110JD","BS11 0JD","BS",4.18205014264121,4.67562864963665,2.42480272571829,2.02814824729229,2.43361335540045,0.741937344729377,5.10594547390058,3.04452243772342,3.04452243772342,"Bristol 003A","Bristol, City of"
"BS110JE","BS11 0JE","BS",4.51305489708029,5.30330490805908,1.06471073699243,1.94591014905531,2.56494935746154,0.587786664902119,5.65948221575962,2.484906649788,2.484906649788,"Bristol 003A","Bristol, City of"
"BS110JF","BS11 0JF","BS",4.54223038621422,5.30330490805908,0.993251773010283,1.91692261218206,2.56494935746154,0.587786664902119,5.10594547390058,2.39789527279837,2.39789527279837,"Bristol 003A","Bristol, City of"
"BS110JG","BS11 0JG","BS",4.29182836675573,5.03043792139244,1.62924053973028,1.82454929205105,2.56494935746154,0.587786664902119,4.00733318523247,2.70805020110221,2.70805020110221,"Bristol 003A","Bristol, City of"
"BS110JH","BS11 0JH","BS",4.34769395559338,5.70711026474888,1.41098697371026,2.00148000021012,3.04452243772342,0.53062825106217,5.48063892334199,3.46573590279973,3.46573590279973,"Bristol 003A","Bristol, City of"
"BS110JJ","BS11 0JJ","BS",4.4320065669789,5.30330490805908,1.96009478404727,2.01490302054226,3.04452243772342,0.587786664902119,5.56068163101553,3.68887945411394,3.68887945411394,"Bristol 003A","Bristol, City of"
"BS110JL","BS11 0JL","BS",4.54754107315146,5.30330490805908,2.30258509299405,2.01490302054226,2.56494935746154,0.741937344729377,5.72358510195238,2.89037175789616,2.89037175789616,"Bristol 003A","Bristol, City of"
"BS110JN","BS11 0JN","BS",4.32809829264833,5.30330490805908,1.25276296849537,2.16332302566054,2.96527306606928,0.53062825106217,5.88887795833288,2.30258509299405,2.30258509299405,"Bristol 003A","Bristol, City of"
"BS110JP","BS11 0JP","BS",4.32148013480585,5.01727983681492,2.17475172148416,1.93152141160321,2.39789527279837,0.587786664902119,5.97126183979046,3.13549421592915,3.13549421592915,"Bristol 003A","Bristol, City of"
"BS110JQ","BS11 0JQ","BS",4.00186370942794,4.67562864963665,3.09557760852371,1.93152141160321,2.05412373369555,1.68639895357023,4.74493212836325,2.19722457733622,2.19722457733622,"Bristol 003A","Bristol, City of"
"BS110JR","BS11 0JR","BS",4.10098910494077,4.67562864963665,1.19392246847243,1.56861591791385,1.94591014905531,0.336472236621213,4.49980967033027,3.13549421592915,3.13549421592915,"Bristol 003A","Bristol, City of"
"BS110JS","BS11 0JS","BS",3.77734810210154,4.61512051684126,1.85629799036563,1.6094379124341,2.39789527279837,0.53062825106217,5.94803498918065,3.13549421592915,3.13549421592915,"Bristol 003A","Bristol, City of"
